@relation stats

@attribute num numeric
@attribute min numeric
@attribute max numeric
@attribute mean numeric
@attribute geommean numeric
@attribute variance numeric
@attribute class {ROOM,HALL}

@data
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
42,0.113591,7.841614,0.652164,0.36022,1.623707,ROOM
44,0.089348,7.812288,0.627584,0.344139,1.550277,ROOM
43,0.088761,7.810847,0.639088,0.347737,1.591247,ROOM
43,0.116462,7.782644,0.641525,0.353471,1.580719,ROOM
43,0.089389,4.132282,0.671781,0.395107,0.869011,ROOM
44,0.090691,4.330759,0.664196,0.39289,0.883907,ROOM
43,0.116508,4.865707,0.697956,0.414182,0.993189,ROOM
43,0.11035,5.020371,0.702713,0.398405,1.053108,ROOM
46,0.109036,5.316635,0.633138,0.347357,1.05035,ROOM
46,0.09642,5.182832,0.657952,0.369358,1.048428,ROOM
45,0.095842,6.251708,0.712537,0.385546,1.308251,ROOM
44,0.099968,6.636881,0.747295,0.403324,1.432691,ROOM
48,0.104811,7.093916,0.706865,0.382289,1.418883,ROOM
